key,Name,Address,City,ST,Zip,County,Website,Phone,Type,New_Revised,Updated,FIPS
Fairbanks AK,HooDoo Brewing Co,1951 Fox Ave,Fairbanks,AK,99701,Fairbanks North Star,www.hoodoobrew.com/,907-459-2337,BC/TR,,,2090
Fairbanks AK,Midnite Mine Brewing Co,308 Wendell Ave,Fairbanks,AK,99701,Fairbanks North Star,www.facebook.com/midniteminebrewingco/,907-378-4067,BC/TR,,,2090
Fairbanks AK,Silver Gulch Brewing & Bottling Co,2195 Old Steese Hwy,Fairbanks,AK,99708,Fairbanks North Star,www.silvergulch.com/,907-452-2739,BP,,,2090
Faribanks AK,Black Spruce Brewing Co,3290 Peger Rd,Faribanks,AK,99709,Fairbanks North Star,www.blacksprucebeer.com,907-328-0448,BC/TR,,,2090
Gakona AK,Gakona Brewing Co,Mile 0.5 Tok Cutoff Hwy,Gakona,AK,99586,Valdez Cordova,www.gakonabrewing.com/,907-960-2537,BC,,,2261
Girdwood AK,Girdwood Brewing Co,2700 Alyeska Hwy,Girdwood,AK,99587,Anchorage,,907-783-2739,BC/TR,,,2020
Haines AK,Haines Brewing Co,327 Main St,Haines,AK,99827,Haines,www.hainesbrewing.com/,907-766-3823,BC/TR,,,2100
Healy AK,49th State Brewing Co (SEASONAL),Mile 248.4 Parks Hwy - SEASONAL,Healy,AK,99743,Denali,www.49statebrewing.com/,907-683-2739,BP,,,2068
Homer AK,Grace Ridge Brewing Co - CLOSED 2021,3388 B St,Homer,AK,99603,Kenai Peninsula,,907-399-5222,BC/TR,REVISED,10/14/2021,2122
Homer AK,Homer Brewing Co,1411 Lake Shore Dr,Homer,AK,99603,Kenai Peninsula,www.homerbrew.com/,907-235-3626,BC/TR,,,2122
Hoonah AK,Icy Strait Brewing Co (Misty Bay Lodge),286 Front St,Hoonah,AK,99829,Skagwayhoonahangoon,http://icystraitbrewing.company/,907-723-5482,BP,,,2232
Juneau AK,Alaskan Brewing Co,5429 Shaune Dr,Juneau,AK,99801,Juneau,www.alaskanbeer.com/,907-780-5866,BC/TR,,,2110
Juneau AK,Barnaby Brewing Co,165 Shattuck Way,Juneau,AK,99801,Juneau,www.barnabybrew.com,907-419-0916,BC/TR,,,2110
Juneau AK,Barnaby Brewing Co - CLOSED 2018,206-1 N Franklin St,Juneau,AK,99801,Juneau,www.barnabybrew.com,907-419-0916,BC/TR,,,2110
Juneau AK,Devils Club Brewing Co,100 N Franklin St,Juneau,AK,99801,Juneau,www.devilsclubbrewing.com,907-209-8451,BP,,,2110
Juneau AK,Forbidden Peak Brewery,11798 Glacier Hwy,Juneau,AK,99801,Juneau,forbiddenpeak.com,,BP,,,2110
Kenai AK,Kassiks Brewery,47160 Spruce Haven St,Kenai,AK,99611,Kenai Peninsula,www.kassikskenaibrewstop.com/,907-776-4055,BC/TR,,,2122
Ketchikan AK,Baleen Brewing Co,9462 Mizzen Lane,Ketchikan,AK,99901,Ketchikan Gateway,www.baleenbrewing.com,907-220-7492,BC/TR,,,2130
Ketchikan AK,Bawden Street Brewing Co,325 Bawden St,Ketchikan,AK,99901,Ketchikan Gateway,www.facebook.com/bawdenstreetbrewing/,513-324-0762,BC/TR,,,2130
Kodiak AK,Kodiak Island Brewing Co,338 Shelikof Ave,Kodiak,AK,99615,Kodiak Island,www.kodiakbrewery.com/,907-486-2537,BP,,,2150
Nenana AK,Roughwoods Inn & Cafe,623 A St,Nenana,AK,99760,YukonKoyukuk,www.facebook.com/pages/Roughwoods-Inn-And-Cafe/214995641861901,907-832-5299,BP,,,2290
Palmer AK,Arkose Brewing Co,650 E Steel Loop,Palmer,AK,99645,MatanuskaSusitna,www.arkosebrewery.com/,907-746-2337,BC/TR,,,2170
Palmer AK,Bleeding Heart Brewery,562 S Denali St,Palmer,AK,99645,MatanuskaSusitna,bleedingheartbrewery.com,907-746-2421,BC/TR,,,2170
Palmer AK,Matanuska Brewing Co,513 S Valley Way,Palmer,AK,99645,MatanuskaSusitna,matanuskabrewing.com/,907-745-2337,BC/TR,,,2170
Seward AK,Seward Brewing Co,139 4th Ave - SEASONAL,Seward,AK,99664,Kenai Peninsula,www.sewardbrewingcompany.com/,907-422-0337,BP,,,2122
Sitka AK,Baranof Island Brewing Co,215 Smith St,Sitka,AK,99835,Sitka,www.baranofislandbrewing.com/,907-747-2739,BC/TR,,,2220
Skagway AK,Klondike Brewing Co,365 2nd Ave,Skagway,AK,99840,Skagwayyakutat,www.klondikekettleworks.com/brewery,,BC/TR,,,2230
Skagway AK,Skagway Brewing Co,250 4th Ave,Skagway,AK,99840,Skagwayyakutat,www.skagwaybrewing.com,907-983-2739,BP,,,2230
Soldotna AK,Kenai River Brewing Co,308 Homestead Lane,Soldotna,AK,99669,Kenai Peninsula,www.kenairiverbrewing.com/,907-262-2337,BC/TR,,,2122
Soldotna AK,Kenai River Brewing Co,241 N Aspen Lane - MOVED 2016,Soldotna,AK,99669,Kenai Peninsula,,907-262-2337,BC,,,2122
Soldotna AK,Saint Elias Brewing Co,434 Sharkathmi Ave,Soldotna,AK,99669,Kenai Peninsula,steliasbrewingco.com/,907-260-7837,BP,,,2122
Talkeetna AK,Denali Brewing Co,37083 Talkeetna Spur Rd,Talkeetna,AK,99676,MatanuskaSusitna,www.denalibrewingcompany.com/,907-733-2536,BC/TR,,,2170
Wasilla AK,Bearpaw River Brewing Co,4605 E Palmer-Wasilla Hwy,Wasilla,AK,99654,MatanuskaSusitna,www.bearpawriverbrewing.com/,907-232-2718,BC/TR,,,2170
Wasilla AK,Last Frontier Brewing Co,238 N Boundary St,Wasilla,AK,99654,MatanuskaSusitna,lastfrontierbrew.com/,907-373-4782,BP,,,2170
Alabaster AL,Siluria Brewing Co,145 1st Ave W,Alabaster,AL,35007,Shelby,www.siluriabrewing.com/,205-624-3037,BC/TR,,,1117
Anniston AL,Cheaha Brewing Co,1208 Walnut Ave,Anniston,AL,36201,Calhoun,www.cheahabrewingcompany.com/,256-770-7300,BP,,,1015
Birmingham AL,Avondale Brewing Co (Good People),201 41st St South,Birmingham,AL,35222,Jefferson,avondalebrewing.com/,205-777-5456,BC/TR,,,1073
Birmingham AL,Back Forty Beer Co - Birmingham,3201 1st Ave N,Birmingham,AL,35222,Jefferson,www.backfortybham.com,205-677-3599,BP,,,1073
Birmingham AL,Birmingham District Brewing Co,2201 2nd Ave S - Suite 102,Birmingham,AL,35233,Jefferson,www.birminghamdistrictbrewing.com,205-202-5779,BC/TR,,,1073
Birmingham AL,Cahaba Brewing Co,4500 5th Ave S - Bldg C,Birmingham,AL,35222,Jefferson,www.cahababrewing.com/,205-578-2616,BC/TR,,,1073
Birmingham AL,Ghost Train Brewing Co,2616 3rd Ave S,Birmingham,AL,35233,Jefferson,www.ghosttrainbrewing.com,205-201-5817,BC/TR,,,1073
Birmingham AL,Good People Brewing,114 14th Street S,Birmingham,AL,35233,Jefferson,www.goodpeoplebrewing.com/,205-588-8002,BC/TR,,,1073
Birmingham AL,Monday Night Brewing Co,14 12th St S,Birmingham,AL,35233,Jefferson,mondaynightbrewing.com/visit/birmingham,404-352-7703,BP,,,1073
Birmingham AL,Trim Tab Brewhouse,2721 5th Ave S,Birmingham,AL,35233,Jefferson,trimtabbrewing.com/,828-545-4746,BC/TR,,,1073
Birmingham AL,True Story Brewing Co,5510 Crestwood Blvd‚Ä†,Birmingham,AL,35212,Jefferson,www.facebook.com/truestorybrewing,205-593-4144,BP,,,1073
Cullman AL,Goat Island Brewing Co,1646-A John H Cooper Dr SE,Cullman,AL,35055,Cullman,www.goatislandbrewing.com/,256-507-0312,BC/TR,,,1043
Dothan AL,Folklore Brewing and Meadery,153 Mary Lou Lane,Dothan,AL,36301,Houston,www.folklorebrewingandmeadery.com/,334-790-8283,BC/TR,,,1069
Fairhope AL,Fairhope Brewing Co,914 Nichols,Fairhope,AL,36532,Baldwin,www.fairhopebrewing.com/,251-279-7517,BC/TR,,,1003
Florence AL,Bluewater Brewing Co,318 South Royal Ave,Florence,AL,35630,Lauderdale,www.facebook.com/BluewaterBrewingCompanyInc/,256-275-1221,BC,,,1077
Florence AL,Singin River Brewing Co,526 E College St,Florence,AL,35630,Lauderdale,www.singinriverbrewing.com/,,BC,,,1077
Gadsden AL,Back Forty Beer Co,200 N 6th St,Gadsden,AL,35901,Etowah,www.backfortybeer.com/,256-467-4912,BC/TR,,,1055
Gulf Shores AL,Big Beach Brewery,300 E 24th Ave,Gulf Shores,AL,36542,Baldwin,www.bigbeachbrewing,251-968-8858,BC/TR,,,1003
Gunthersville AL,Main Channel Brewing Co,2090 Gunther Ave,Gunthersville,AL,35976,Marshall,mainchannelbeer.com/,256-960-5070,BC/TR,,,1095
Helena AL,Oversoul Brewing Co,4164 Helena Rd,Helena,AL,35080,Shelby,www.facebook.com/OversoulBrewing,205-999-6444,BC/TR,,,1117
Homewood AL,"Grocery Brewpub, The",2823 Central Ave,Homewood,AL,35209,Jefferson,thebrocertbrewpub.com,205-637-0990,BP,,,1073
Huntsville AL,Below the Radar Brewhouse,220 Holmes Ave NE,Huntsville,AL,35801,Madison,btrbrew.com/,256-469-6617,BP,,,1089
Huntsville AL,Chandlers Ford Brewing Co (BeeZr),109 North Side Square,Huntsville,AL,35801,Madison,www.gobeezr.com,256-655-0806,BP,NEW,5/2/2021,1089
Huntsville AL,Fractal Brewing Project,3200 Leeman Ferry Road SW,Huntsville,AL,35801,Madison,fractalbrewing.com,256-489-5520,BC/TR,NEW,5/1/2021,1089
Huntsville AL,Green Bus Brewing Co,206 Eustis Ave SE,Huntsville,AL,35801,Madison,www.facebook.com/greenbusbrewing,256-990-2477,BC/TR,,,1089
Huntsville AL,Innerspace Brewing Co,2414 Clinton Ave W,Huntsville,AL,35805,Madison,innerspacebrewing.com/,256-489-5599,BC/TR,,,1089
Huntsville AL,Mad Malts Brewing Co,109 Maple Ave NW,Huntsville,AL,35801,Madison,www.madmaltsbrewing.com/,256-503-2233,BC/TR,,,1089
Huntsville AL,Salty Nut Brewery,2406 Clinton Ave W,Huntsville,AL,35805,Madison,saltynutbrewery.com/,256-425-5204,BC/TR,,,1089
Huntsville AL,Straight to Ale Brewing Co,2620 Clinton Ave W,Huntsville,AL,35805,Madison,www.straightoale.com,265-652-8055,BP,,,1089
Huntsville AL,Yellowhammer Brewery,2600 Clinton Ave W,Huntsville,AL,35805,Madison,www.yellowhammerbrewery.com/,256-489-2510,BC,,,1089
Jasper AL,Tallulah Brewing Co,1804 4th Ave S,Jasper,AL,35501,Walker,www.tallulahbrewing.com,205-530-8555,BC/TR,,,1127
Jasper AL,Twisted Barley Brewing Co,520 19th St W,Jasper,AL,35501,Walker,www.facebook.com/twistedbarleybrewingco,205-265-3253,BC/TR,,,1127
Leeds AL,Neighbors Brewing Co (Neighbor’s Brew & Pies),6200 Grand River Blvd E – Suite 510,Leeds,AL,35094,Jefferson,backyardleeds.com/neighbors-brewing/,205-352-9180,BP,NEW,5/2/2021,1073
Madison AL,Bowler Hat Brewing Co,7429 Hwy 72W – Unit C,Madison,AL,35758,Madison,bowlerhatbrewing.com,256-325-3928,BC/TR,NEW,5/2/2021,1089
Madison AL,Old Black Bear Brewing Co,212 Main St,Madison,AL,35758,Madison,www.oldblackbear.com /,256-850-4639,BP,,,1089
Madison AL,Rocket Republic Brewing Co,289 Production Ave,Madison,AL,35758,Madison,www.rocketrepublicbrewing.com/,256-361-9008,BC/TR,,,1089
Mobile AL,Braided River Brewing Co,420 St. Louis St,Mobile,AL,36602,Mobile,www.braidedriverbrewing.com,,BC/TR,,,1097
Mobile AL,Iron Hand Brewing Co,206 State St,Mobile,AL,36603,Mobile,www.facebook.com/ironhandbrewing,251-725-6912,BP,,,1097
Mobile AL,Old Majestic Brewing Co,656 St. Louis St,Mobile,AL,36602,Mobile,www.facebook.com/OldMajesticBrewery,251-283-3132,BC/TR,,,1097
Mobile AL,Serda Brewing Co - CLOSED 2021,600 Government St,Mobile,AL,36602,Mobile,,251-929-9349,BC/TR,REVISED,7/27/2021,1097
Montgomery AL,Common Bond Brewers,424 Bibb St -Suite 150,Montgomery,AL,36104,Montgomery,www.commonbondbrewers.com,334-676-2287,BC/TR,,,1101
Montgomery AL,Railyard Brewing Co,12 W Jefferson St,Montgomery,AL,36104,Montgomery,www.railyardbrewingcompany.com/,334-262-0080,BP,,,1101
Opelika AL,Red Clay Brewing Co,704 N Railroad Ave,Opelika,AL,36801,Lee,www.facebook.com/RedClayBeer/,334-737-5409,BC/TR,,,1081
Opelika AL,Resting Pulse Brewing Co,714 1st Ave,Opelika,AL,36801,Lee,restingpulsebrewing.com,334-203-1364,BC/TR,,,1081
Orange Beach AL,GTs on the Bay,26189 Canal Rd,Orange Beach,AL,36561,Baldwin,www.gtsonthebay.com,251-980-8400,BP,,,1003
Pelham AL,Oak Mountain Brewing Co,110 Cahaba Valley Rd,Pelham,AL,35124,Shelby,www.oakmountainbrewing.com,205-994-6544,BC/TR,NEW,10/18/2021,1117
Phenix City AL,Chattahoochee Brewing Co,505 13th St,Phenix City,AL,36867,Russell,beerontheriver.com/,334-559-0663,BP,,,1113
Trussville AL,Ferus Artisan Ales,101 Beech St - Suite 111,Trussville,AL,35173,Jefferson,ferusales.com,205-508-3001,BP,,,1073
Trussville AL,Slag Heap Brewing Co,227 Main St,Trussville,AL,35173,Jefferson,www.slagheapbrewing.com,205-537-1015,BC/TR,,,1073
Tuscaloosa AL,Black Warrior Brewing Co,2216 University Blvd,Tuscaloosa,AL,35401,Tuscaloosa,www.blackwarriorbrewing.com/,205-248-7841,BC/TR,,,1125
Tuscaloosa AL,Druid City Brewing Co (Straight to Ale),607 14th St,Tuscaloosa,AL,35401,Tuscaloosa,www.facebook.com/DruidCityBrewingCompany,205-342-0051,BC/TR,,,1125
Amity AR,Slate Rock Brewing Co,113 S Main St,Amity,AR,71921,Clark,www.slaterockbrewing.com,870-342-5545,BC/TR,,,5019
Bentonville AR,Bentonville Brewing Co,901 SW 14th St,Bentonville,AR,72712,Benton,www.bentonvillebrewing.com,479-903-7330,BP,,,5007
Bentonville AR,Bike Rack Brewing Co,410 SW A St,Bentonville,AR,72712,Benton,,479-268-6648,BC/TR,,,5007
Bentonville AR,Bike Rack Brewing Co,801 SE 8th St,Bentonville,AR,72712,Benton,bikerackbrewing.com,479-319-6593,BC/TR,,,5007
Bentonville AR,Social Project Brewing Co,600 SW 41 St - Suite 4,Bentonville,AR,72712,Benton,www.drinksocialbeer.com,817-239-5654,BC/TR,NEW,10/18/2021,5007
Big Flat AR,Gravity Brew Works,11512 Highway 14 E,Big Flat,AR,72617,Baxter,www.gravitybrewworks.com/,870-448-2077,BC/TR,,,5005
Bonnerdale AR,Bubba Brews Brewing Co (Bubba Brews Sports Pub & Grill),8091 Airport Rd,Bonnerdale,AR,71933,Hot Spring,bubbabrews.com/menu/arkansas-location/,870-356-4001,BP,,,5059
Bryant AR,Burks Brothers Brewing Co,2315 Shady Pine Lane Bldg – Bldg C Unit 4,Bryant,AR,72022,Saline,burksbrothersbrewing.com,,BC/TR,NEW,6/22/2021,5125
Camden AR,Native Dog Brewing Co,125 Madison Ave SE,Camden,AR,71701,Ouachita,www.nativedogbrewing.com,870-231-3451,BC/TR,,,5103
El Dorado AR,Three Birds Brewing Co,1805 N West Ave,El Dorado,AR,71730,Union,www.facebook.com/ThreeBirdsBrewingCompany,870-639-1300,BP,NEW,6/22/2021,5139
Eureka Springs AR,Eureka Springs Brewery,96 Ridgeview Rd,Eureka Springs,AR,72632,Carroll,eurekaspringsbrewery.com,479-363-6066,BC/TR,,,5015
Eureka Springs AR,Gotahold Brewing Co,409 W Van Buren,Eureka Springs,AR,72632,Carroll,www.gotahold.beer,479-363-4187,BC/TR,NEW,5/2/2021,5015
Fayetteville AR,Apple Blossom Brewing Co,1550 East Zion Rd – Suite 1,Fayetteville,AR,72703,Washington,appleblossombrewing.com,479-332-5252,BP,,,5143
Fayetteville AR,Boston Mountain Brewing Co,121 W Township St - Suite 11,Fayetteville,AR,72703,Washington,www.facebook.com/Boston-Mountain-Brewing-1182267841937074/,479-332-4103,BC/TR,,,5143
Fayetteville AR,Columbus House Brewery & Taproom,701 W North St,Fayetteville,AR,72703,Washington,www.facebook.com/columbushousebrewery/,479-935-3752,BC/TR,,,5143
Fayetteville AR,Crisis Brewing Co,210 S Archibald Yell Blvd,Fayetteville,AR,72701,Washington,crisisbrew.com,479-582-2337,BC/TR,,,5143
Fayetteville AR,Crisis Brewing Co,200 S Archibald Yell Blvd,Fayetteville,AR,72701,Washington,crisisbrew.com,479-582-2337,BP,,,5143
Fayetteville AR,Fossil Cove Brewing Co,1946 N Birch Ave,Fayetteville,AR,72703,Washington,www.fossilcovebrewing.com/,479-445-6050,BC/TR,,,5143
Fayetteville AR,Hog Haus Brewing Co,430 W Dickson St,Fayetteville,AR,72701,Washington,www.hoghaus.com,479-521-2739,BP,,,5143
Fayetteville AR,JJs Brewing Co (JBGB),3615 N Steele Blvd,Fayetteville,AR,72703,Washington,www.thejbgb.com/,479-435-6502,BP,,,5143
Fayetteville AR,West Mountain Brewing Co (Tiny Tims Pizza),21 W Mountain St,Fayetteville,AR,72701,Washington,www.facebook.com/pages/West-Mountain-Brewing-Co/118412764836736/,479-521-5551,BP,,,5143
Fort Smith AR,Fort Smith Brewing Co,7500 Fort Chaffee Blvd,Fort Smith,AR,72916,Sebastian,www.fsbrewco.com,479-242-3722,BC/TR,,,5131
Hot Springs AR,SQZBX Brewery and Pizza Joint,236 Ouachita Ave,Hot Springs,AR,71901,Garland,sqzbx.com,501-609-0609,BP,,,5051
Hot Springs AR,Superior Bathhouse Brewery and Distillery,329 Central Ave,Hot Springs,AR,71901,Garland,www.superiorbathhouse.com/,501-624-2337,BP,,,5051
Jacksonville AR,Blade and Barrel Brewing Co,140 John Harden Dr – Suite 18,Jacksonville,AR,72076,Pulaski,www.facebook.com/bladeandbarrelarkansas,501-596-9066,BP,NEW,6/22/2021,5119
Jonesboro AR,Native Brew Works,515 S Gee St,Jonesboro,AR,72401,Craighead,nativebrewworks.com,870-206-7278,BP,NEW,10/18/2021,5031
Little Rock AR,Buffalo Brewing Co (The Water Buffalo),106 S Rodney Parham Rd,Little Rock,AR,72205,Pulaski,www.thewaterbuffalo.com,501-725-5296,BC/TR,,,5119
Little Rock AR,Damgoode Pies,500 Pres Clinton Ave,Little Rock,AR,72201,Pulaski,www.damgoodepies.com/,501-664-2239,BP,,,5119
Little Rock AR,Lost 40 Brewing Co (Pint & Pantry),501 Byrd St,Little Rock,AR,72202,Pulaski,www.lost40brewing.com/,501-319-7335,BP,,,5119
Little Rock AR,Refined Ale of Little Rock,2221 S Cedar St,Little Rock,AR,72204,Pulaski,www.facebook.com/pages/REFINED-ALE-BREWERY-OF-LITTLE-ROCK/132769200079420/,501-280-0556,BC,,,5119
Little Rock AR,Stones Throw Brewing Co,402 E 9th St,Little Rock,AR,72202,Pulaski,www.stonesthrowbeer.com/,501-244-9154,BC/TR,,,5119
Little Rock AR,Vinos Pizza Pub Brewery,923 W 7th St,Little Rock,AR,72201,Pulaski,www.vinosbrewpub.com/,501-375-8466,BP,,,5119
Lonsdale AR,StudDuck Beers,128 Bassett Trail,Lonsdale,AR,72087,Garland,www.studduckbeers.com,501-482-1044,BC/TR,NEW,5/2/2021,5051
Mena AR,Ouachita Brewery (The Ouachita),821 Mena St,Mena,AR,71953,Polk,www.theouachitas.com,479-234-7305,BP,NEW,5/2/2021,5113
Morrilton AR,Point Remove Brewing Co (The Point Winery),102 S Crestliner St,Morrilton,AR,72110,Conway,pointremovebrewingcompany.com,479-970-8852,BC/TR,NEW,5/2/2021,5029
Mountain Home AR,Rapps Barren Brewing Co,601 S Baker St,Mountain Home,AR,72653,Baxter,rappsbarrenbrewing.com/,870-424-7277,BP,NEW,7/27/2021,5005
Norfork AR,Norfork Brewing Co,13980 S Hwy 5,Norfork,AR,72658,Baxter,www.facebook.com/naturesbeer,918-706-6082,BC/TR,,,5005
North Little Rock AR,Diamond Bear Brewing Co (Arkansas Ale House),600 N Broadway St,North Little Rock,AR,72114,Pulaski,www.diamondbear.com/,501-708-2739,BP,,,5119
North Little Rock AR,Flyway Brewing Co,314 Maple St,North Little Rock,AR,72114,Pulaski,www.facebook.com/flywaybrewingcompany/,501-350-8868,BC/TR,,,5119
Ozark AR,Ox Bend Brewing Co,1404 W Commercial St,Ozark,AR,72949,Franklin,www.facebook.com/oxbendbrewing,479-677-0085,BC/TR,,,5047
Paris AR,Prestonrose Farm & Brewing Co,201 St Louis Valley Rd,Paris,AR,72855,Logan,prestonrose.squarespace.com/,479-847-5174,BC/TR,,,5083
Pine Bluff AR,Downstream Crafted Brewing Co (Saracen Casino Resort),1 Saracen Resort Dr,Pine Bluff,AR,71601,Jefferson,saracenresort.com/dining/legend-sports-bar,870-686-9001,BP,NEW,5/2/2021,5069
Rogers AR,Hawk Moth Brewery and Beer Parlor,710 N 2nd St,Rogers,AR,72756,Benton,hawkmothbrewing.com,479-877-1011,BC/TR,,,5007
Rogers AR,Natural State Beer Co,5214 W Village Pkwy,Rogers,AR,72758,Benton,naturalstatebeercompany.com,479-202-9454,BC/TR,,,5007
Rogers AR,New Province Brewing Co,1310 W Hudson Rd,Rogers,AR,72756,Benton,www.newprovincebrewing.com/,479-246-0479,BC/TR,,,5007
Rogers AR,Ozark Beer Co,109 N Arkansas St,Rogers,AR,72756,Benton,ozarkbeercompany.com/,479-636-2337,BC/TR,,,5007
Rogers AR,Rendezvous Junction Brewing Co,2225 S Bellview Rd – Suite 101,Rogers,AR,72758,Benton,www.rendezvousjunction.com/home,479-381-7501,BC/TR,NEW,7/27/2021,5007
Scranton AR,Pridgin Family Brewery,1328 Rodeo Arena Rd,Scranton,AR,72863,Logan,www.facebook.com/PridginFamilyBrewery,479-938-7163,BC/TR,NEW,5/2/2021,5083
Siloam Springs AR,Ivory Bill Brewing Co,516 E Main St,Siloam Springs,AR,72761,Benton,www.theivorybill.com/,479-599-9606,BC/TR,,,5007
Springdale AR,Core Brewing & Distilling Co,2470 Lowell Rd - #A3,Springdale,AR,72764,Washington,www.corebeer.com/,479-879-2469,BC,,,5143
Springdale AR,Saddlebock Brewery,18244 Habberton Rd,Springdale,AR,72764,Washington,www.saddlebock.com/,479-422-1797,BC/TR,,,5143
Subiaco AR,Country Monks Brewing Co (Subiaco Abbey),405 N Subiaco Ave,Subiaco,AR,72865,Logan,www.facebook.com/countrymonksbrewing,479-934-1000,BC,,,5083
Avondale AZ,8-Bit Aleworks,1050 N Fairway Dr - #F-101 - NAME CHANGE 2016,Avondale,AZ,85323,Maricopa,www.8-bitaleworks.com/,623-925-1650,BC/TR,,,4013
Bisbee AZ,Electric Brewing Co,1326-B W Hwy 92,Bisbee,AZ,85603,Cochise,www.facebook.com/Electric.Brewing.Bisbee,520-227-0035,BC/TR,,,4003
Bisbee AZ,Old Bisbee Brewing Co,200 Review Alley,Bisbee,AZ,85603,Cochise,www.oldbisbeebrewingcompany.com/,520-432-2739,BP,,,4003
Camp Verde AZ,Verde Brewing Co,724 Industrial Dr #7,Camp Verde,AZ,86322,Yavapai,www.verdebrewing.com/,928-567-8626,BP,,,4025
Cave Creek AZ,Cave Creek Beer Co (Indigo Crow Restaurant & Bar) - CLOSED 2020,7100 E Cave Creek Rd - #151,Cave Creek,AZ,85331,Maricopa,,480-488-2187,BP,REVISED,9/17/2021,4013
Chandler AZ,BJs Restaurant & Brewhouse,3155 W Chandler Blvd,Chandler,AZ,85226,Maricopa,www.bjsrestaurants.com/locations/az/chandler/,480-812-4781,BP,,,4013
Chandler AZ,Flix Brewhouse,1 W Chandler Blvd,Chandler,AZ,85225,Maricopa,www.flixbrewhouse.com/chandler,480-476-8080,BP,,,4013
Chandler AZ,Helluva Brewing Co,3950 W Ray Rd - Suite 5,Chandler,AZ,85226,Maricopa,www.facebook.com/chandlerbrewery,480-664-6488,BP,,,4013
Chandler AZ,Perch Pub & Brewery,232 S Wall St,Chandler,AZ,85225,Maricopa,perchpubbrewery.com/,480-773-7688,BP,,,4013
Chandler AZ,San Tan Brewing Co,8 S San Marcos Plaza,Chandler,AZ,85225,Maricopa,www.santanbrewing.com/,480-917-8700,BP,,,4013
Chandler AZ,SanTan Brewing Co,495 E Warner Rd,Chandler,AZ,85225,Maricopa,www.santanbrewing.com/,480-850-0205,BC,,,4013
Chino Valley AZ,Insurgent Brewing Co,990 N State Rt 89 - Unit B,Chino Valley,AZ,86323,Yavapai,www.insurgentbrewingco.com,928-925-4773,BC/TR,,,4025
Clarkdale AZ,Smeltertown Brewery,921 Main St,Clarkdale,AZ,86324,Yavapai,www.smeltertownbrewery.com,928-821-0814,BC/TR,NEW,5/2/2021,4025
Colorado City AZ,Edge of the World Brewery,70 N Central St,Colorado City,AZ,86021,Mohave,edgeoftheworld.bar,928-875-8710,BC/TR,,,4015
Cottonwood AZ,Belfry Brewing Co,791 N Main St,Cottonwood,AZ,86326,Yavapai,www.belfrybrewery.com,928-239-4595,BP,,,4025
Cottonwood AZ,THAT Brewery,300-B E Cherry St (rear),Cottonwood,AZ,86326,Yavapai,www.thatbrewery.com/,928-202-3013,BC/TR,,,4025
Elgin AZ,Copper Hop Ranch & Microbrewery,2330 Hwy 83,Elgin,AZ,85611,Santa Cruz,copperhopranch.com,520-455-4673,BC/TR,,,4023
Elgin AZ,Elgin Brewery (Village of Elgin Winery),473 Elgin Rd - Suite BH,Elgin,AZ,85611,Santa Cruz,www.facebook.com/ElginBrewing/,520-369-3421,BC/TR,,,4023
