Name,Address,City,ST,Zip,County,Website,Phone,Type,New_Revised,Updated
1718 Ocracoke Brewing Co,1129 Irvin Garrish Hwy,Ocracoke,NC,27960,"Ocracoke, NC, Hyde",www.facebook.com/1718BrewingOcracoke/,252-928-2337,BC/TR,,
1766 Brewing Co,61 Main St,Plymouth,NH,3264,"Plymouth, NH, Grafton",www.1766brewing.com,603-238-9110,BP,,
1766 Brewing Co (Last Chair Rest),5 Rte 25,Plymouth,NH,3264,"Plymouth, NH, Grafton",www.1766brewing.com,603-254-7320,BP,,
1781 Brewing Co (Wilderness Run Vineyards),11109 Plank Rd,Spotsylvania,VA,22553,"Spotsylvania, VA, Spotsylvania",www.facebook.com/1781brewing/,804-842-0199,BC/TR,,
1787 Brewing Co,43 S Fourth St,Hamburg,PA,19526,"Hamburg, PA, Berks",1787brewingcompany.com/,484-665-3032,BP,,
180 and Tapped,2010A State Ave,Coraopolis,PA,15108,"Coraopolis, PA, Allegheny",www.180andtapped.com,412-737-5273,BC,,
1803 Brewery and Taproom,123 Harding Way E,Galion,OH,44833,"Galion, OH, Crawford",www.facebook.com/1803brewerytaproom,567-393-9394,BC/TR,,
1812 Brewery,13006 Mason Rd NE,Cumberland,MD,21502,"Cumberland, MD, Allegany",www.facebook.com/1812-Brewery-453221841687206/,301-338-2490,BC/TR,,
1820 BrewWerks,105 W Main St,Kalida,OH,45853,"Kalida, OH, Putnam",1820brewwerks.com,419-532-2828,BP,,
1840 Brewing Co,342 Ward St,Milwaukee,WI,53207,"Milwaukee, WI, Milwaukee",www.1840brewing.com,414-236-4056,BC/TR,,
1865 Brewing Co,9 S Mallory St,Hampton,VA,23663,"Hampton, VA, Hampton",www.1865brewingcompany.com,757-964-9571,BP,NEW,10/18/2021
1873 Brewing Co,415 Tom Hall St,Fort Mill,SC,29715,"Fort Mill, SC, York",www.1873brewing.com,803-547-8520,BC/TR,NEW,6/22/2021
18th Street Brewery,5417 Oakely Ave,Hammond,IN,46320,"Hammond, IN, Lake",18thstreetbrewery.com/,219-939-8802,BP,,
18th Street Brewery,5725 Miller Ave,Gary,IN,46403,"Gary, IN, Lake",www.18thstreetbrewery.com,219-939-8802,BP,,
18th Ward Brewing Co,300 Richardson St,Brooklyn,NY,11222,"Brooklyn, NY, Kings",www.18thwardbrewing.com,718-387-4025,BP,,
1905 Brewing Co,121 N Chestnut St,Assumption,IL,62510,"Assumption, IL, Christian",www.1905brewingcompany.com,217-992-2424,BC/TR,NEW,7/27/2021
1912 Brewing Co,2045 N Forbes Blvd - Suite 105,Tucson,AZ,85745,"Tucson, AZ, Pima",www.1912brewing.com/,520-256-4851,BC/TR,,
192 Brewing Co,7811 NE 205th St,Kenmore,WA,98028,"Kenmore, WA, King",www.192brewing.com/,425-424-2337,BC/TR,,
1933 Brewing Co,3755 Southern Blvd SE,Rio Rancho,NM,87124,"Rio Rancho, NM, Sandoval",www.1933brewingco.com,505-404-9882,BP,,
1937 Brewery Co (Delaware Park Casino),777 Delaware Park Blvd,Wilmington,DE,19804,"Wilmington, DE, New Castle",www.delawarepark.com/1937-brewing-company,800-417-5687,BP,NEW,7/29/2021
1940s Brewing Co,1337 Lincoln Ave -#1,Holbrook,NY,11741,"Holbrook, NY, Suffolk",1940sbrewingcompany.com,516-533-4838,BC/TR,,
1st Republic Brewing Co,39 River Rd - Suite 6,Essex Junction,VT,5452,"Essex Junction, VT, Chittenden",www.1strepublicbrewingco.com,802-857-5318,BC/TR,,
2 Basset Brewery,202 E Main St,White Sulphur Springs,MT,59645,"White Sulphur Springs, MT, Meagher",www.2bassetbrewery.com/,406-547-2337,BC/TR,,
2 Dogz and a Guy Brewing Co,33288 Rte 171,Susquehanna,PA,18847,"Susquehanna, PA, Susquehanna",www.facebook.com/2dogzandaguy,570-860-2012,BC/TR,,
2 Doors Down Brewery,112 Warner Ct,Clinton,IL,61727,"Clinton, IL, De Witt",www.twodoorsdownbrewing.com,217-570-0776,BC/TR,,
2 Feet Brewing Co,80 Columbia St,Bangor,ME,4401,"Bangor, ME, Penobscot",www.2feetbrewing.com,207-573-1979,BP,,
2 Row Brewing Co,6856 S Cottonwood St,Midvale,UT,84047,"Midvale, UT, Salt Lake",www.2rowbrewing.com/,801-987-8663,BC,,
2 Silos Brewing Co (Farm Brew Live),9925 Discovery Blvd,Manassas,VA,20109,"Manassas, VA, Prince William",farmbrewlive.com/brewery/,703-420-2264,BP,,
2 Toms Brewing Co,3676 N Wells St,Fort Wayne,IN,46808,"Fort Wayne, IN, Allen",2tomsbrewing.com,260-402-7644,BC/TR,,
2 Tones Brewing Co,4539 E Broad St,Whitehall,OH,43213,"Columbus, OH, Franklin",2tonesbrewingco.com,614-762-6281,BC/TR,,
2 Way Brewing Co,18 W Main St,Beacon,NY,12508,"Beacon, NY, Dutchess",2waybrewingcompany.com/,845-202-7334,BC/TR,,
2 Witches Winery and Brewing Co,209 Trade St,Danville,VA,24541,"Danville, VA, Danville",www.2witcheswinebrew.com/the-brewery/,434-549-2739,BC/TR,,
20 Corners Brewing Co,14148 NE 190th St - Suite A,Woodinville,WA,98072,"Woodinville, WA, King",www.20cornersbrewing.com/,Woodinville,BP,,
2050 State Brewing Co (Brewhouse Grille),2050 State Rd,Camp Hill,PA,17011,"Camp Hill, PA, Cumberland",www.brewhousegrille.com,717-737-0030,BP,,
207 Beer Co,71 Center St,Brewer,ME,4412,"Brewer, ME, Penobscot",www.207beercompany.net,207-659-8916,BC/TR,,
21 North Brewery Tavern and Brewery,21 N Parish Ave,Johnstown,CO,80534,"Johnstown, CO, Weld",www.21northbrewery.com,970-587-1062,BP,,
210 Brewing Co (Angel of the Winds Casino),3438 Stoluckquamish Lane,Arlington,WA,98223,"Arlington, WA, Snohomish",www.angelofthewinds.com/dining/brewery/,877-394-8210,BP,,
21st Amendment Brewery,563 2nd St,San Francisco,CA,94107,"San Francisco, CA, San Francisco",www.21st-amendment.com/,415-369-0900,BP,,
21st Amendment Brewing Co,2010 Williams St,San Leandro,CA,94577,"San Leandro, CA, Alameda",21st-amendment.com/,510-595-2111,BC/TR,,
22 Lakes Brewing Co,107 W Fulton St,Waupaca,WI,54981,"Waupaca, WI, Waupaca",www.22lakesbrewing.com,920-639-2859,BC/TR,,
22 Northmen Brewing Co (Carlos Creek Winery),6693 County Rd 34 NW,Alexandria,MN,56308,"Alexandria, MN, Douglas",www.22northmen.com,320-846-5443,BP,,
23 Brewing Co - MAY BREW OCCASIONALLY,2010 Rte 321,Prestonsburg,KY,41653,"Prestonsburg, KY, Floyd",www.23brewingcompany.com/,859-940-2132,BC,,
238 Brewing Co,10321 E Day Mt Spokane Rd,Mead,WA,99021,"Mead, WA, Spokane",www.238brewing.com/,509-238-2739,BC/TR,,
238 Brewing Co (Legacy Farm),10321 E Day Mt Spokane Rd,Mead,WA,99021,"Mead, WA, Spokane",238brewing.com,360-682-5011,BC/TR,,
23rd Street Brewery,3512 Clinton Pky,Lawrence,KS,66047,"Lawrence, KS, Douglas",www.brew23.com/,785-856-2337,BP,,
25 Oclock Brewing Co,208 W Griggs St - Suite 101,Urbana,IL,61801,"Urbana, IL, Champaign",www.facebook.com/25-OClock-Brewing-Company-189499248260173/,,BC/TR,,
26 Degrees Brewing Co,2600 E Atlantic Blvd,Pompano Beach,FL,33062,"Pompano Beach, FL, Broward",www.26brewing.com/,954-532-6964,BC/TR,,
27A Brewing Co,173 N Wellwood Ave,Lindenhurst,NY,11757,"Lindenhurst, NY, Suffolk",27abrewing.com,631-450-4156,BC/TR,,
2C Family Brewing Co,1215 1st St S,Nampa,ID,83651,"Nampa, ID, Canyon",2cfamilybrewing.com,208-475-3981,BC/TR,,
2d Phase Brewing Co,1004 19th St,Bakersfield,CA,93301,"Bakersfield, CA, Kern",www.2ndphasebrewing.com,661-404-4278,BC/TR,,
2Kids Brewing Co - CLOSED 2019,8680 Miralani Dr - #123,San Diego,CA,92126,"San Diego, CA, San Diego",,858-480-5437,BC/TR,REVISED,10/17/2021
2nd Bridge Brewing Co,642 Hillard St - Suite 2003,Manchester,CT,6042,"Manchester, CT, Hartford",2ndbridgebrewing.com/,860-783-8580,BC/TR,,
2nd Chance Brewing Co,6541 20th Ave NE,Seattle,WA,98115,"Seattle, WA, King",2ndchancebrewing.com/,206-551-6051,BC,,
2nd Shift Brewing Co,1601 Sublette Ave,St Louis,MO,63110,"Saint Louis, MO, St. Louis City",2ndshiftbrewing.com,314-669-9013,BC/TR,,
2nd Shift Brewing Co (Cedar Creek Conf. Ctr),1401 Olive Rd,New Haven,MO,63068,"New Haven, MO, Franklin",www.2ndshiftbrewing.com/,573-237-3421,BC/TR,,
2SP Brewing Co,120 Concord Rd - Units 101-103,Aston,PA,19014,"Aston, PA, Delaware",www.2spbrewing.com/,484-483-7860,BC/TR,,
3 Bridges Brewing Co (Off the Wagon Brewery - Kitchen),2107 S Tamiami Trail S,Venice,FL,34293,"Venice, FL, Sarasota",www.otwbar.com,941-468-8100,BP,,
3 Car Garage Brewing Co,8405 Heritage Green Way,Bradenton,FL,34212,"Bradenton, FL, Manatee",3cargaragebrewing.com,941-741-8877,BC/TR,,
3 Daughters Brewing Co,222 22nd St S - #342,St Petersburg,FL,33712,"Saint Petersburg, FL, Pinellas",www.3dbrewing.com/,727-495-6002,BC/TR,,
3 Disciples Brewing Co,501 Mendocino Ave,Santa Rosa,CA,95401,"Santa Rosa, CA, Sonoma",www.3disciplesbrewing.com,707-978-2459,BC/TR,,
3 Disciples Brewing Co,5511 Volkerts Rd,Sebastopol,CA,95472,"Sebastopol, CA, Sonoma",www.3disciplesbrewing.com/,707-228-7309,BC,,
3 Freaks Brewery,7140 E County Line Rd,Highlands Ranch,CO,80126,"Littleton, CO, Douglas",www.3freaksbrewery.com/,720-299-0994,BC/TR,,
3 Guys & A Beerd Brewing Co - CLOSED 2020,10 Enterprise Dr,Carbondale,PA,18407,"Carbondale, PA, Lackawanna",,570-280-2739,BC,REVISED,9/17/2021
3 Iron Brewing Co,898 Via Lata - #A,Colton,CA,92324,"Colton, CA, San Bernardino",www.3ironbrewingco.com/,909-533-4892,BC/TR,,
3 Keys Brewing & Eatery,2505 Manatee Ave E,Bradenton,FL,34208,"Bradenton, FL, Manatee",www.3keysbrewing.com/,941-218-0396,BP,,
3 Legged Crane Pub and Brewhouse,48329 1st St,Oakridge,OR,87463,-1,www.facebook.com/3leggedcrane,541-782-2024,BP,,
3 Nations Brewing Co,1033 E Vandergriff D,Carrollton,TX,75006,"Carrollton, TX, Dallas",3nationsbrewing.com,469-289-6062,BC/TR,,
3 Punk Ales Brewing Co,259 3rd Ave,Chula Vista,CA,91910,"Chula Vista, CA, San Diego",www.3punksales.com,619-841-7148,BC/TR,,
3 Punk Ales Brewing Co,9962 Prospect Ave - Suite E,Santee,CA,92071,"Santee, CA, San Diego",www.3punkales.com/,619-876-2513,BC,,
3 Sheeps Brewing Co,1327 Huron Ave,Sheboygan,WI,53081,"Sheboygan, WI, Sheboygan",3sheepsbrewing.com/,920-395-3583,BC,,
3 Sheeps Brewing Co,1837 North Ave,Sheboygan,WI,53083,"Sheboygan, WI, Sheboygan",www.3sheepsbrewing.com,920-395-3583,BC/TR,,
3 Sheets Brewing Co,2115 NW 20th Loop,Albany,OR,97321,"Albany, OR, Linn",www.facebook.com/3SheetsBrewery,541-619-0183,BC,,
3 Sons Brewing Co,236 N Federal Hwy,Dania Beach,FL,33004,"Dania, FL, Broward",www.3sonsbrewingco.com,954-601-3833,BP,,
3 Stars Brewing Co,6400 Chillum Place NW,Washington,DC,20012,"Washington, DC, District of Columb",www.3starsbrewing.com/,202-670-0333,BC/TR,,
3 Trails Brewing Co,111 N Main St,Independence,MO,64050,"Independence, MO, Jackson",www.3trailsbrewing.com,816-886-6256,BC/TR,,
30 Mile Brewing Co,39 Ragged Rock Rd - Unit 5,Old Saybrook,CT,6475,"Old Saybrook, CT, Middlesex",www.facebook.com/30-Mile-Brewing-Co-918504548214858/,203-996-2474,BC/TR,,
300 Suns Brewing Co,335 1st Ave - Unit C,Longmont,CO,80501,"Longmont, CO, Boulder",www.300sunsbrewing.com/,720-442-8292,BC/TR,,
32 North Brewing Co,8655-A Production Ave,San Diego,CA,92121,"San Diego, CA, San Diego",www.32northbrewco.com/,619-363-2622,BC/TR,,
350 Brewing Co,7144 183rd St,Tinley Park,IL,60477,"Tinley Park, IL, Cook",,708-342-5485,BP,,
377 Brewery & Cuisine,2027 Yale Blvd SE,Albuquerque,NM,87106,"Albuquerque, NM, Bernalillo",www.the377.com,505-934-0795,BC/TR,,
38-75 Brewing Co (Garys Dewey Beach Grill),2000 Coastal Hwy,Dewey Beach,DE,19971,"Rehoboth Beach, DE, Sussex",www.facebook.com/38-75-Brewing-188724831899586/,302-227-8519,BP,,
3cross Brewing Co,26 Cambridge St - REAR,Worcester,MA,1603,"Worcester, MA, Worcester",3crossbrewing.com/,,BC/TR,,
3HALVES Brewing Co (Jousting Pigs BBQ)‚Ä†,110 E Kansas St‚Ä†,Liberty,MO,64068,"Liberty, MO, Clay",3halvesbrewingco.com,816-429-6886,BP,,
3rd Act Craft Brewery,4120 Radio Dr,Woodbury,MN,55129,"Saint Paul, MN, Washington",3rdactbrew.com,651-998-2337,BP,,
3rd Degree Brewhouse (Corner Biergarten) - NO BREWING HERE 2019,1625 N Main St,Fuquay-Varina,NC,27526,"Fuquay Varina, NC, Wake",,919-201-5457,BC/TR,,
3rd Planet Brewing Co,120 Partin Dr N,Niceville,FL,32578,"Niceville, FL, Okaloosa",www.facebook.com/3rdplanetbrewing,850-502-9952,BC/TR,,
3rd Planet Brewing Co,1400 E John Sims Pkwy,Niceville,FL,32578,"Niceville, FL, Okaloosa",www.3rdplanetbrewing.com,850-424-4257,BC/TR,,
3rd Rock Brewing Co,134 Industrial Park Dr,Trenton,NC,28585,"Trenton, NC, Jones",www.3rockbrew.com/,252-631-9213,BC/TR,,
3rd Turn Brewing Co,10408 Watterson Trail,Louisville,KY,40299,"Louisville, KY, Jefferson",3rdturnbrewing.com/,502-482-3373,BC/TR,,
4 By 4 Brewing Co,2811 E Galloway St - Suite A,Springfield,MO,65804,"Springfield, MO, Greene",4by4brewingcompany.com/,417-861-6400,BC/TR,,
4 Hands Brewing Co,1220 S 8th St,St Louis,MO,63104,"Saint Louis, MO, St. Louis City",www.4handsbrewery.com/,314-436-1559,BC/TR,,
4 Noses Brewing Co,8855 West 116th Circle - Suite 4,Broomfield,CO,80021,"Broomfield, CO, Jefferson",4nosesbrewing.com/,720-460-2797,BC/TR,,
40 Arpent Brewery,6809 N Peters St,Arabi,LA,70032,"Arabi, LA, St. Bernard",40arpent.com/,504-342-2804,BC/TR,,
406 Brewing Co,111 S Oak St - Suite D,Bozeman,MT,59715,"Bozeman, MT, Gallatin",www.406brewingcompany.com/,406-585-3745,BC/TR,,
411 Broadway Ales and Spirits,411 Broadway St,Fresno,CA,93721,"Fresno, CA, Fresno",www.facebook.com/411BroadwayBrew,,BC,,
412 Brewing Co,706 Island Ave,McKees Rocks,PA,15136,"Mc Kees Rocks, PA, Allegheny",www.412brews.com,412-771-0362,BC,,
418 Restaurant (KVCC),418 E Walnut St - Culinary Allied Health Bldg,Kalamazoo,MI,49007,"Kalamazoo, MI, Kalamazoo",www.kvcc.edu/dining,269-548-3200,BP,,
42 North Brewing Co,25 Pine St,East Aurora,NY,14052,"East Aurora, NY, Erie",42northbrewing.com/,716-805-7500,BP,,
4204-Main Street Brewing Co,4204 W Main St,Belleville,IL,62226,"Belleville, IL, St. Clair",www.mainstreetbrewingco.com/,618-416-7261,BP,,
450 North Brewing Co (Simmons Winery),8111 E 450 N,Columbus,IN,47203,"Columbus, IN, Bartholomew",www.450northbrewing.com/,812-546-0091,BP,,
47 Hills Brewing Co,137 S Linden Ave,South San Francisco,CA,94080,"South San Francisco, CA, San Mateo",www.47hillsbrewingcompany.com,650-867-8476,BC/TR,,
49th State Brewing Co (SEASONAL),Mile 248.4 Parks Hwy - SEASONAL,Healy,AK,99743,"Healy, AK, Denali",www.49statebrewing.com/,907-683-2739,BP,,
49th State Brewing Co Anchorage,717 W 3rd Ave,Anchorage,AK,99501,"Anchorage, AK, Anchorage",49statebrewing.com/anchorage/,907-277 7727,BP,,
4J Brewing Co,1348 Cedar Post Ln,Houston,TX,77055,"Houston, TX, Harris",www.4jbrewingtcompany.com,713-678-0776,BC/TR,,
4KD Crick Brewery (Eagle Rock Golf Club),211 Carpenter Rd,Defiance,OH,43512,"Defiance, OH, Defiance",4kdcrickbrewery.com/,419-576-5922,BC/TR,,
4th St. Brewing Co,77 NE 4th St,Gresham,OR,97030,"Gresham, OR, Multnomah",www.4thstreetbrewing.com/,503-669-0569,BP,,
4th Tap Brewing Co-op,10615 Metric Blvd,Austin,TX,78758,"Austin, TX, Travis",4thtap.coop/,512-904-9817,BC/TR,,
5 Alarm Brewing Co,211 W Main St,Lake Mills,IA,50450,"Lake Mills, IA, Winnebago",www.facebook.com/5-Alarm-Brewing-Co-308907589563456/,641-592-2739,BC/TR,,
5 Arch Brewing Co,206 N Morton Ave,Centerville,IN,47330,"Centerville, IN, Wayne",www.5archbrewing.com,,BC,,
5 Barrel Bullet Brewing Co,1690 E High Ave,New Philadelphia,OH,44663,"New Philadelphia, OH, Tuscarawas",www.facebook.com/5-Barrel-Bullet-Brewing-Company-176574079614051/,330-365-9034,BC/TR,,
5 Lakes Brewing Co,1638 142nd Ave,Dorr,MI,49323,"Dorr, MI, Allegan",www.5lakesbrewing.com,616-359-9555,BP,,
5 Rabbit Cerveceria,6398 W 74th St,Bedford Park,IL,60638,"Chicago, IL, Cook",www.5rabbitbrewery.com/,312-895-9591,BC/TR,,
5 Rights Brewing Co,7028 46th St NE,Marysville,WA,98270,"Marysville, WA, Snohomish",www.5rightsbrewing.com/,425-334-1026,BC/TR,,
5 Rights Brewing Co,1514 3rd St,Marysville,WA,98270,"Marysville, WA, Snohomish",www.5rightsbrewing.com,425-334-1026,BC/TR,,
5 Seasons Brewing Co,3655 Old Milton Pky - CLOSED 2017,Alpharetta,GA,30005,"Alpharetta, GA, Fulton",www.5seasonsbrewing.com/,770-521-5551,BP,,
5 Seasons Brewing Co,1000 Marietta St NW,Atlanta,GA,30318,"Atlanta, GA, Fulton",www.5seasonsbrewing.com/,404-875-3232,BP,,
5 Stones Artisan Brewing Co,11335 FM 1863,New Braunfels,TX,78132,"New Braunfels, TX, Comal",www.5stonesbrewery.com,210-380-8215,BC/TR,,
51 North Brewing Co,51 N Broadway St,Lake Orion,MI,48362,"Lake Orion, MI, Oakland",www.51northbrewing.com/,248-690-7367,BP,,
515 Brewing Co,7700 University Ave - Suite C,Clive,IA,50325,"Clive, IA, Polk",www.515brewing.com/,515-661-4615,BC/TR,,
5168 Brewing Co,5730 Hidcote Dr,Lincoln,NE,68516,"Lincoln, NE, Lancaster",www.facebook.com/5168brewing/,402-875-5588,BC/TR,,
51st State Brewing Co,115 Harding Ave,Kingsford,MI,49802,"Kingsford, MI, Dickinson",www.51ststatebrewingco.com,906-828-2167,BP,,
"54- 40"" Brewing Co",3801 S Truman Rd - #1,Washougal,WA,98671,"Washougal, WA, Clark",www.54-40brewing.com/,360-844-5932,BC/TR,,
550 Brewing Co and Pizza Parlor,119 N Main Ave,Aztec,NM,87410,"Aztec, NM, San Juan",www.facebook.com/550-Brewing-Pizza-Parlor-291303701463303,505-636-2261,BP,,
559 Brewery,1465 Tollhouse Rd,Clovis,CA,93611,"Clovis, CA, Fresno",www.559.beer/,559-473-1875,BC,,
56 Brewing Co,3055 Columbia Ave NE - Suite 103,Minneapolis,MN,55418,"Minneapolis, MN, Hennepin",www.56brewing.com,612-404-0056,BC/TR,,
575 Brewing Co,234 W 8th St,Alamogordo,NM,88310,"Alamogordo, NM, Otero",575brewing.co,,BC/TR,,
5IVE Cities Brewing Co,2255 Falcon Ave,Bettendorf,IA,52722,"Bettendorf, IA, Scott",www.fivecitiesbrewing.com,563-232-6105,BC/TR,,
5x5 Brewing Co,801 N Bryan Rd - Suite 174,Mission,TX,78572,"Mission, TX, Hidalgo",www.5x5brewing.com,956-445-5421,BC/TR,,
6 Bears & A Goat Brewing Co,1140 International Pkwy,Fredericksburg-,VA,22406,"Fredericksburg, VA, Stafford",www.6bgbrewingco.com,540-356-9056,BP,,
60 CC Brewing Co,2113 N Reynolds Rd,Toledo,OH,43615,"Toledo, OH, Lucas",60ccbrewing.com,,BC/TR,NEW,7/29/2021
603 Brewery and Beer Hall,42 Main St,Londonderry,NH,3053,"Londonderry, NH, Rockingham",603brewery.com,603-404-6123,BP,,
608 Brewing Co,83 Copeland Ave,La Crosse,WI,54603,"La Crosse, WI, La Crosse",www.608brewingcompany.com,,BC/TR,,
612 Brew,945 Broadway St NE,Minneapolis,MN,55413,"Minneapolis, MN, Hennepin",www.612brew.com/,612-217-0437,BC/TR,,
633 Brewing Co,118 Walnut St – Suite 106,Waynesboro,PA,17268,"Waynesboro, PA, Franklin",www.facebook.com/633Brewing,717-387-5818,BC/TR,NEW,5/2/2021
6S Brewing Co,3111 Main St,Duluth,GA,30096,"Duluth, GA, Gwinnett",www.6sbeer.com,678-571-7353,BC/TR,NEW,5/2/2021
7 Devils Brewing Co,247 S 2nd St,Coos Bay,OR,97420,"Coos Bay, OR, Coos",www.7devilsbrewery.com/,541-808-3738,BP,,
7 Dogs Brewpub,360 W Spring St,Wytheville,VA,24382,"Wytheville, VA, Wythe",www.facebook.com/7dogsbrewpub,276-228-0994,BP,NEW,10/18/2021
7 Hamlets Brewing Co,26 Seymour Lane,Westmoreland,NY,13490,"Westmoreland, NY, Oneida",www.7hamlets.com,315-381-3459,BC/TR,,
7 Hermits Brewing Co,1020 Capital St,Eagle,CO,81631,"Eagle, CO, Eagle",www.7hermitsbrewing.com/,970-390-3838,BP,,
7 Hills Brewing Co,1085 Washington St,Dubuque,IA,52001,"Dubuque, IA, Dubuque",www.7hillsbrew.com,563-587-8306,BP,,
7 Locks Brewing Co,12227 Wilkins Ave,Rockville,MD,20852,"Rockville, MD, Montgomery",www.7locksbrewing.com/,301-841-7123,BC/TR,,
