FIPS,State,County_Name,County,Population_2010,UIC_2013,Description,City/Suburb/Town/Rural
42123,PA,Warren County,Warren ,"41,815",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
45001,SC,Abbeville County,Abbeville ,"25,417",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
45021,SC,Cherokee County,Cherokee ,"55,342",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
45043,SC,Georgetown County,Georgetown ,"60,158",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
45047,SC,Greenwood County,Greenwood ,"69,661",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
45069,SC,Marlboro County,Marlboro ,"28,933",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
45071,SC,Newberry County,Newberry ,"37,508",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
45073,SC,Oconee County,Oconee ,"74,273",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
45075,SC,Orangeburg County,Orangeburg ,"92,501",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
46027,SD,Clay County,Clay ,"13,864",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
46061,SD,Hanson County,Hanson ,"3,331",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
46081,SD,Lawrence County,Lawrence ,"24,097",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
47029,TN,Cocke County,Cocke ,"35,662",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
47035,TN,Cumberland County,Cumberland ,"56,053",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
47051,TN,Franklin County,Franklin ,"41,052",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
47059,TN,Greene County,Greene ,"68,831",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
47107,TN,McMinn County,McMinn ,"52,266",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
47143,TN,Rhea County,Rhea ,"31,809",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
47155,TN,Sevier County,Sevier ,"89,889",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48003,TX,Andrews County,Andrews ,"14,786",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48025,TX,Bee County,Bee ,"31,861",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48057,TX,Calhoun County,Calhoun ,"21,381",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48073,TX,Cherokee County,Cherokee ,"50,845",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48117,TX,Deaf Smith County,Deaf Smith ,"19,372",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48173,TX,Glasscock County,Glasscock ,"1,226",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48179,TX,Gray County,Gray ,"22,535",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48189,TX,Hale County,Hale ,"36,273",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48203,TX,Harrison County,Harrison ,"65,631",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48219,TX,Hockley County,Hockley ,"22,935",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48227,TX,Howard County,Howard ,"35,012",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48233,TX,Hutchinson County,Hutchinson ,"22,150",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48249,TX,Jim Wells County,Jim Wells ,"40,838",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48273,TX,Kleberg County,Kleberg ,"32,061",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48353,TX,Nolan County,Nolan ,"15,216",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48427,TX,Starr County,Starr ,"60,968",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48487,TX,Wilbarger County,Wilbarger ,"13,535",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48489,TX,Willacy County,Willacy ,"22,134",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
48505,TX,Zapata County,Zapata ,"14,018",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
49021,UT,Iron County,Iron ,"46,163",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
50003,VT,Bennington County,Bennington ,"37,125",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
50021,VT,Rutland County,Rutland ,"61,642",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
50023,VT,Washington County,Washington ,"59,534",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
51089,VA,Henry County,Henry ,"54,151",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
51143,VA,Pittsylvania County,Pittsylvania ,"63,506",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
51590,VA,Danville city,Danville city,"43,055",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
51690,VA,Martinsville city,Martinsville city,"13,821",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
53001,WA,Adams County,Adams ,"18,728",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
53027,WA,Grays Harbor County,Grays Harbor ,"72,797",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
53075,WA,Whitman County,Whitman ,"44,776",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
54045,WV,Logan County,Logan ,"36,743",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
54049,WV,Marion County,Marion ,"56,418",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
54053,WV,Mason County,Mason ,"27,324",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
54055,WV,Mercer County,Mercer ,"62,264",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
54091,WV,Taylor County,Taylor ,"16,895",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
55043,WI,Grant County,Grant ,"51,208",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
55069,WI,Lincoln County,Lincoln ,"28,743",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
55071,WI,Manitowoc County,Manitowoc ,"81,442",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
55075,WI,Marinette County,Marinette ,"41,749",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
55078,WI,Menominee County,Menominee ,"4,232",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
55097,WI,Portage County,Portage ,"70,019",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
55111,WI,Sauk County,Sauk ,"61,976",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
55115,WI,Shawano County,Shawano ,"41,949",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
55141,WI,Wood County,Wood ,"74,749",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
56001,WY,Albany County,Albany ,"36,299",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
72001,PR,Adjuntas Municipio,Adjuntas Municipio,"19,483",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
72073,PR,Jayuya Municipio,Jayuya Municipio,"16,642",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
72133,PR,Santa Isabel Municipio,Santa Isabel Municipio,"23,274",5,Micropolitan adjacent to a small metro area                                                         ,Suburb
1005,AL,Barbour County,Barbour ,"27,457",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
1011,AL,Bullock County,Bullock ,"10,914",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
1013,AL,Butler County,Butler ,"20,947",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
1019,AL,Cherokee County,Cherokee ,"25,989",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
1039,AL,Covington County,Covington ,"37,765",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
1041,AL,Crenshaw County,Crenshaw ,"13,906",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
1049,AL,DeKalb County,DeKalb ,"71,109",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
1053,AL,Escambia County,Escambia ,"38,319",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
1057,AL,Fayette County,Fayette ,"17,241",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
1059,AL,Franklin County,Franklin ,"31,704",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
1063,AL,Greene County,Greene ,"9,045",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
1087,AL,Macon County,Macon ,"21,452",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
1119,AL,Sumter County,Sumter ,"13,763",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
1123,AL,Tallapoosa County,Tallapoosa ,"41,616",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
4001,AZ,Apache County,Apache ,"71,518",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
5001,AR,Arkansas County,Arkansas ,"19,019",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
5015,AR,Carroll County,Carroll ,"27,446",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
5023,AR,Cleburne County,Cleburne ,"25,970",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
5029,AR,Conway County,Conway ,"21,273",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
5039,AR,Dallas County,Dallas ,"8,116",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
5041,AR,Desha County,Desha ,"13,008",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
5043,AR,Drew County,Drew ,"18,509",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
5047,AR,Franklin County,Franklin ,"18,125",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
5057,AR,Hempstead County,Hempstead ,"22,609",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
5061,AR,Howard County,Howard ,"13,789",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
5067,AR,Jackson County,Jackson ,"17,997",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
5075,AR,Lawrence County,Lawrence ,"17,415",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
5083,AR,Logan County,Logan ,"22,353",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
5127,AR,Scott County,Scott ,"11,233",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
5133,AR,Sevier County,Sevier ,"17,058",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
5141,AR,Van Buren County,Van Buren ,"17,295",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
6009,CA,Calaveras County,Calaveras ,"45,578",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
6021,CA,Glenn County,Glenn ,"28,122",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
6049,CA,Modoc County,Modoc ,"9,686",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
6093,CA,Siskiyou County,Siskiyou ,"44,900",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
6105,CA,Trinity County,Trinity ,"13,786",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
8029,CO,Delta County,Delta ,"30,952",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
8055,CO,Huerfano County,Huerfano ,"6,711",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
8083,CO,Montezuma County,Montezuma ,"25,535",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
8089,CO,Otero County,Otero ,"18,831",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
12013,FL,Calhoun County,Calhoun ,"14,625",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
12037,FL,Franklin County,Franklin ,"11,549",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
12047,FL,Hamilton County,Hamilton ,"14,799",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
12059,FL,Holmes County,Holmes ,"19,927",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
12063,FL,Jackson County,Jackson ,"49,746",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
12075,FL,Levy County,Levy ,"40,801",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
12079,FL,Madison County,Madison ,"19,224",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
12121,FL,Suwannee County,Suwannee ,"41,551",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
12123,FL,Taylor County,Taylor ,"22,570",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
12133,FL,Washington County,Washington ,"24,896",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13011,GA,Banks County,Banks ,"18,395",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13019,GA,Berrien County,Berrien ,"19,286",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13023,GA,Bleckley County,Bleckley ,"13,063",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13075,GA,Cook County,Cook ,"17,212",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13091,GA,Dodge County,Dodge ,"21,796",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13093,GA,Dooly County,Dooly ,"14,918",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13099,GA,Early County,Early ,"11,008",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13105,GA,Elbert County,Elbert ,"20,166",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13109,GA,Evans County,Evans ,"11,000",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13119,GA,Franklin County,Franklin ,"22,084",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13131,GA,Grady County,Grady ,"25,011",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13147,GA,Hart County,Hart ,"25,213",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13165,GA,Jenkins County,Jenkins ,"8,340",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13193,GA,Macon County,Macon ,"14,740",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13205,GA,Mitchell County,Mitchell ,"23,498",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13243,GA,Randolph County,Randolph ,"7,719",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13251,GA,Screven County,Screven ,"14,593",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13253,GA,Seminole County,Seminole ,"8,729",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13259,GA,Stewart County,Stewart ,"6,058",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13267,GA,Tattnall County,Tattnall ,"25,520",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13287,GA,Turner County,Turner ,"8,930",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13307,GA,Webster County,Webster ,"2,799",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13311,GA,White County,White ,"27,144",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13315,GA,Wilcox County,Wilcox ,"9,255",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
13317,GA,Wilkes County,Wilkes ,"10,593",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
16029,ID,Caribou County,Caribou ,"6,963",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
16035,ID,Clearwater County,Clearwater ,"8,761",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
16049,ID,Idaho County,Idaho ,"16,267",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
16077,ID,Power County,Power ,"7,817",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
16085,ID,Valley County,Valley ,"9,862",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
16087,ID,Washington County,Washington ,"10,198",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
17017,IL,Cass County,Cass ,"13,642",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
17023,IL,Clark County,Clark ,"16,335",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
17041,IL,Douglas County,Douglas ,"19,980",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
17045,IL,Edgar County,Edgar ,"18,576",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
17055,IL,Franklin County,Franklin ,"39,561",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
17085,IL,Jo Daviess County,Jo Daviess ,"22,678",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
17087,IL,Johnson County,Johnson ,"12,582",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
17125,IL,Mason County,Mason ,"14,666",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
17139,IL,Moultrie County,Moultrie ,"14,846",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
17145,IL,Perry County,Perry ,"22,350",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
17165,IL,Saline County,Saline ,"24,913",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
17173,IL,Shelby County,Shelby ,"22,363",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
17181,IL,Union County,Union ,"17,808",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
17187,IL,Warren County,Warren ,"17,707",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
17193,IL,White County,White ,"14,665",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
18009,IN,Blackford County,Blackford ,"12,766",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
18045,IN,Fountain County,Fountain ,"17,240",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
18051,IN,Gibson County,Gibson ,"33,503",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
18055,IN,Greene County,Greene ,"33,165",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
18075,IN,Jay County,Jay ,"21,253",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
18087,IN,LaGrange County,LaGrange ,"37,128",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
18123,IN,Perry County,Perry ,"19,338",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
18135,IN,Randolph County,Randolph ,"26,171",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
18181,IN,White County,White ,"24,643",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19005,IA,Allamakee County,Allamakee ,"14,330",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19019,IA,Buchanan County,Buchanan ,"20,958",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19029,IA,Cass County,Cass ,"13,956",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19031,IA,Cedar County,Cedar ,"18,499",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19035,IA,Cherokee County,Cherokee ,"12,072",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19037,IA,Chickasaw County,Chickasaw ,"12,439",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19039,IA,Clarke County,Clarke ,"9,286",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19055,IA,Delaware County,Delaware ,"17,764",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19065,IA,Fayette County,Fayette ,"20,880",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19071,IA,Fremont County,Fremont ,"7,441",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19073,IA,Greene County,Greene ,"9,336",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19079,IA,Hamilton County,Hamilton ,"15,673",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19083,IA,Hardin County,Hardin ,"17,534",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19087,IA,Henry County,Henry ,"20,145",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19089,IA,Howard County,Howard ,"9,566",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19095,IA,Iowa County,Iowa ,"16,355",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19097,IA,Jackson County,Jackson ,"19,848",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19117,IA,Lucas County,Lucas ,"8,898",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19119,IA,Lyon County,Lyon ,"11,581",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19125,IA,Marion County,Marion ,"33,309",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19133,IA,Monona County,Monona ,"9,243",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19137,IA,Montgomery County,Montgomery ,"10,740",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19145,IA,Page County,Page ,"15,932",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19165,IA,Shelby County,Shelby ,"12,167",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19171,IA,Tama County,Tama ,"17,767",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
19175,IA,Union County,Union ,"12,534",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
20013,KS,Brown County,Brown ,"9,984",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
20021,KS,Cherokee County,Cherokee ,"21,603",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
20027,KS,Clay County,Clay ,"8,535",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
20031,KS,Coffey County,Coffey ,"8,601",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
20073,KS,Greenwood County,Greenwood ,"6,689",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
20115,KS,Marion County,Marion ,"12,660",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
20117,KS,Marshall County,Marshall ,"10,117",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
20127,KS,Morris County,Morris ,"5,923",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
20131,KS,Nemaha County,Nemaha ,"10,178",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
21043,KY,Carter County,Carter ,"27,720",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
21065,KY,Estill County,Estill ,"14,672",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
21079,KY,Garrard County,Garrard ,"16,912",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
21085,KY,Grayson County,Grayson ,"25,746",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
21141,KY,Logan County,Logan ,"26,835",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
21167,KY,Mercer County,Mercer ,"21,331",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
21177,KY,Muhlenberg County,Muhlenberg ,"31,499",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
21183,KY,Ohio County,Ohio ,"23,842",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
21197,KY,Powell County,Powell ,"12,613",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
21225,KY,Union County,Union ,"15,007",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
21233,KY,Webster County,Webster ,"13,621",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
22003,LA,Allen Parish,Allen Parish,"25,764",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
22009,LA,Avoyelles Parish,Avoyelles Parish,"42,073",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
22013,LA,Bienville Parish,Bienville Parish,"14,353",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
22027,LA,Claiborne Parish,Claiborne Parish,"17,195",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
22039,LA,Evangeline Parish,Evangeline Parish,"33,984",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
22049,LA,Jackson Parish,Jackson Parish,"16,274",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
22053,LA,Jefferson Davis Parish,Jefferson Davis Parish,"31,594",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
22059,LA,La Salle Parish,La Salle Parish,"14,890",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
22083,LA,Richland Parish,Richland Parish,"20,725",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
22085,LA,Sabine Parish,Sabine Parish,"24,233",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
22127,LA,Winn Parish,Winn Parish,"15,313",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
23007,ME,Franklin County,Franklin ,"30,768",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
23009,ME,Hancock County,Hancock ,"54,418",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
23017,ME,Oxford County,Oxford ,"57,833",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
23021,ME,Piscataquis County,Piscataquis ,"17,535",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
23025,ME,Somerset County,Somerset ,"52,228",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
23027,ME,Waldo County,Waldo ,"38,786",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
26035,MI,Clare County,Clare ,"30,926",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
26051,MI,Gladwin County,Gladwin ,"25,692",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
26123,MI,Newaygo County,Newaygo ,"48,460",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
27005,MN,Becker County,Becker ,"32,504",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
27043,MN,Faribault County,Faribault ,"14,553",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
27061,MN,Itasca County,Itasca ,"45,058",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
27071,MN,Koochiching County,Koochiching ,"13,311",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
27075,MN,Lake County,Lake ,"10,866",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
27113,MN,Pennington County,Pennington ,"13,930",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
27117,MN,Pipestone County,Pipestone ,"9,596",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
27121,MN,Pope County,Pope ,"10,995",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
